Interactor	Evidence_description	PMID,
AT1G08970	yeast two-hybrid assay	22199235,22912760
AT1G10210	Biochemical Activity	19095804,
AT1G54830	yeast two-hybrid assay	22199235,22912760
AT1G56170	yeast two-hybrid assay	22199235,22912760
AT3G12480	yeast two-hybrid assay	22199235,
AT3G45640	Biochemical Activity	19095804,
AT3G48590	yeast two-hybrid assay	22199235,22912760
AT4G01370	Biochemical Activity	19095804,
AT5G27910	yeast two-hybrid assay	22199235,22912760
AT5G38140	yeast two-hybrid assay	22199235,
AT5G50470	yeast two-hybrid assay	22199235,22912760
AT5G50480	yeast two-hybrid assay	22199235,22912760
AT5G50490	yeast two-hybrid assay	22912760,
AT5G63470	yeast two-hybrid assay	22199235,22912760
